fullName,city,state,location,lon,lat,type,loctype,address,north,south,east,west
College Park Center,Arlington,TX,"College Park Center, Arlington, TX",-97.1080356,32.73064280000001,establishment,rooftop,"600 s center st, arlington, tx 76019, usa",32.7319319802915,32.7292340197085,-97.1070452697085,-97.1097432302915
Anderson Arena,Bowling Green,OH,"Anderson Arena, Bowling Green, OH",-83.6365235,41.3772755,establishment,geometric_center,"ridge st, bowling green, oh 43403, usa",41.3788424802915,41.3761445197085,-83.6348689197085,-83.6375668802915
Klotsche Center,Milwaukee,WI,"Klotsche Center, Milwaukee, WI",-87.8796776,43.0795057,subpremise,rooftop,"3409 n downer ave klotsche center, milwaukee, wi 53211, usa",43.0810606802915,43.0783627197085,-87.8779738197085,-87.88067178029151
Richmond Coliseum,Richmond,VA,"Richmond Coliseum, Richmond, VA",-77.43491499999999,37.54502350000001,establishment,rooftop,"601 e leigh st, richmond, va 23219, usa",37.5466636802915,37.5439657197085,-77.43333636970848,-77.43603433029149
U.S. Cellular Center,Asheville,NC,"U.S. Cellular Center, Asheville, NC",-82.555619,35.5971794,establishment,rooftop,"87 haywood st, asheville, nc 28801, usa",35.5984846802915,35.5957867197085,-82.5543497697085,-82.5570477302915
Sioux Falls Arena,Sioux Falls,SD,"Sioux Falls Arena, Sioux Falls, SD",-96.7492627,43.5621264,establishment,rooftop,"1201 n w ave, sioux falls, sd 57104, usa",43.56372908029149,43.5610311197085,-96.7482525197085,-96.75095048029151
Summit Arena - Convention Center,Hot Springs,AR,"Summit Arena - Convention Center, Hot Springs, AR",-93.04878389999999,34.5099354,establishment,rooftop,"398 convention blvd, hot springs, ar 71901, usa",34.51154003029149,34.50884206970849,-93.04755686970849,-93.0502548302915
crypto.com Arena,Los Angeles,CA,"crypto.com Arena, Los Angeles, CA",-118.2672541,34.0430175,establishment,rooftop,"1111 s figueroa st, los angeles, ca 90015, usa",34.0442803802915,34.0415824197085,-118.2653459697085,-118.2680439302915
Leonard E. Merrell Center,Katy,TX,"Leonard E. Merrell Center, Katy, TX",-95.83264700000001,29.7798456,establishment,rooftop,"6301 s stadium ln, katy, tx 77494, usa",29.7810439302915,29.7783459697085,-95.8313174197085,-95.8340153802915
Rocket Mortgage FieldHouse,Cleveland,OH,"Rocket Mortgage FieldHouse, Cleveland, OH",-81.68805739999999,41.4965474,establishment,rooftop,"1 center court, cleveland, oh 44115, usa",41.49798313029149,41.4952851697085,-81.6870094,-81.69031869999999
Smoothie King Center,New Orleans,LA,"Smoothie King Center, New Orleans, LA",-90.08205679999999,29.9490351,establishment,rooftop,"1501 dave dixon dr, new orleans, la 70113, usa",29.9502409302915,29.9475429697085,-90.0803351697085,-90.08303313029151
Jim Whelan Boardwalk Hall,Atlantic City,NJ,"Jim Whelan Boardwalk Hall, Atlantic City, NJ",-74.438391,39.354905,establishment,rooftop,"2301 boardwalk, atlantic city, nj 08401, usa",39.35637553029149,39.35367756970849,-74.43673961970849,-74.4394375802915
Walsh Gymnasium,South Orange,NJ,"Walsh Gymnasium, South Orange, NJ",-74.24488649999999,40.7417246,establishment,rooftop,"400 s orange ave, south orange, nj 07079, usa",40.7432036302915,40.7405056697085,-74.24343136970849,-74.24612933029151
ORACLE Arena,Oakland,CA,"ORACLE Arena, Oakland, CA",-122.203049,37.750338,establishment,rooftop,"7000 s coliseum wy, oakland, ca 94621, usa",37.75165398029149,37.74895601970849,-122.2015656197085,-122.2042635802915
Pauley Pavilion,Los Angeles,CA,"Pauley Pavilion, Los Angeles, CA",-118.4469294,34.0703423,establishment,rooftop,"301 westwood plaza, los angeles, ca 90095, usa",34.0714597302915,34.06876176970851,-118.4459925197085,-118.4486904802915
Yuengling Center,Tampa,FL,"Yuengling Center, Tampa, FL",-82.4065387,28.0592076,establishment,rooftop,"12499 usf bull run drive, tampa, fl 33617, usa",28.0610466302915,28.0583486697085,-82.4049597197085,-82.4076576802915
Georgia Dome,Atlanta,GA,"Georgia Dome, Atlanta, GA",-84.40082850000002,33.7576897,establishment,geometric_center,"atlanta, ga 30313, usa",33.7594230802915,33.75672511970851,-84.4001055197085,-84.40280348029151
