school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,year,20
Xavier,Big East,7,11,9,7,13,17,17,17,16,15,22,24,,24,,,,,,2017,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2018,NA
School,Conf,Pre,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,Final,2018,NA
Alabama,SEC,,,25,24,,,,,,,,,,,,,,,,2018,NA
Arizona,Pac-12,3,3,2,,,23,18,17,14,17,14,11,9,13,17,14,19,15,12,2018,NA
Arizona State,Pac-12,,,,20,16,5,3,3,4,11,16,21,25,,25,,,,,2018,NA
Arkansas,SEC,,,,,,,,,22,,,,,,,,,,,2018,NA
Auburn,SEC,,,,,,,,,,22,17,19,11,8,10,12,14,16,19,2018,NA
Baylor,Big 12,24,25,22,16,23,21,19,18,,,,,,,,,,,,2018,NA
Cincinnati,AAC,12,12,12,11,17,25,20,21,19,14,12,9,8,6,5,11,10,8,6,2018,NA
Clemson,ACC,,,,,,,,,25,19,20,18,20,16,11,15,18,19,20,2018,NA
Creighton,Big East,,,,25,,,25,25,,25,,,,,,,,,,2018,NA
Duke,ACC,1,1,1,1,1,4,4,4,2,7,5,4,4,9,12,5,5,5,9,2018,NA
Florida,SEC,8,8,7,6,5,22,,,,,,20,23,,,,,23,23,2018,NA
Florida State,ACC,,,,,,19,24,24,24,23,,,,,,25,,,,2018,NA
Gonzaga,WCC,18,17,17,15,12,12,12,20,19,15,13,15,14,12,9,6,7,6,8,2018,NA
Houston,AAC,,,,,,,,,,,,,,,,23,25,21,21,2018,NA
Kansas,Big 12,4,4,3,2,2,13,14,11,10,12,10,5,7,10,13,8,6,9,4,2018,NA
Kentucky,SEC,5,7,8,7,8,8,7,16,17,21,18,,21,24,,,23,,18,2018,NA
Louisville,ACC,16,18,19,17,,,,,,,,,,,,,,,,2018,NA
Miami (FL),ACC,13,11,11,10,10,6,6,15,15,18,25,,,25,,,,24,22,2018,NA
Michigan,Big Ten,,,,,,,,,,,23,25,24,20,22,17,15,7,7,2018,NA
Michigan State,Big Ten,2,2,4,3,3,2,2,2,1,4,9,6,5,4,2,2,2,4,5,2018,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2018,NA
School,Conf,Pre,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/5,Final,2018,NA
Middle Tennessee,CUSA,,,,,,,,,,,,,,,,24,24,,,2018,NA
Minnesota,Big Ten,15,14,14,12,14,,,,,,,,,,,,,,,2018,NA
Nevada,MWC,,,,,22,,,,,,,23,,23,24,20,21,22,24,2018,NA
Northwestern,Big Ten,19,20,,,,,,,,,,,,,,,,,,2018,NA
Notre Dame,ACC,14,13,13,5,9,18,,,,,,,,,,,,,,2018,NA
Ohio State,Big Ten,,,,,,,,,,,22,13,17,14,8,16,13,17,17,2018,NA
Oklahoma,Big 12,,,,,,,17,12,7,9,4,12,12,17,23,,,,,2018,NA
Purdue,Big Ten,20,19,18,,21,17,16,14,13,5,3,3,3,3,6,9,8,10,11,2018,NA
Rhode Island,A-10,,,,,,,,,,,,24,22,18,16,18,17,25,,2018,NA
Saint Mary's,WCC,22,21,21,,,,,,,,,16,13,11,15,22,22,20,25,2018,NA
Seton Hall,Big East,23,22,20,,19,15,23,23,21,13,19,,,,,,,,,2018,NA
TCU,Big 12,,,,23,20,14,15,10,16,16,24,,,,,,,,,2018,NA
Tennessee,SEC,,,,,24,20,21,19,23,24,21,22,18,15,18,19,16,13,13,2018,NA
Texas A&M,SEC,25,16,16,9,7,9,8,5,11,,,,,,21,,,,,2018,NA
Texas Tech,Big 12,,,,22,,24,22,22,18,8,8,14,10,7,7,6,12,14,14,2018,NA
UCLA,Pac-12,21,23,24,,,,,,,,,,,,,,,,,2018,NA
UNC,ACC,9,9,9,13,11,7,5,13,12,20,15,10,19,21,14,10,9,12,10,2018,NA
USC,Pac-12,10,10,10,14,25,,,,,,,,,,,,,,,2018,NA
Villanova,Big East,6,5,5,4,4,1,1,1,3,1,1,1,1,1,3,3,4,2,2,2018,NA
Virginia,ACC,,,,18,15,16,13,9,8,3,2,2,2,2,1,1,1,1,1,2018,NA
West Virginia,Big 12,11,24,23,19,18,11,10,7,6,2,6,7,15,19,20,21,20,18,15,2018,NA
Wichita State,AAC,7,6,6,8,6,3,11,8,9,6,7,17,16,22,19,13,11,11,16,2018,NA
Xavier,Big East,17,15,15,21,13,10,9,6,5,10,11,8,6,5,4,4,3,3,3,2018,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2019,20
School,Conf,Pre,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,2019,Final
Arizona State,Pac-12,,,,,20,20,18,17,,,,,,,,,,,,2019,
Auburn,SEC,11,9,8,8,8,8,7,12,12,11,14,16,,,,,,,22,2019,14
Buffalo,MAC,,25,22,21,17,14,14,21,20,19,16,14,18,23,25,25,21,19,18,2019,15
Cincinnati,AAC,,,,,,,,,,,,,,25,,,23,20,24,2019,22
Clemson,ACC,22,19,16,,,,,,,,,,,,,,,,,2019,
Duke,ACC,4,1,1,3,3,2,2,1,1,1,1,2,2,2,2,1,3,4,5,2019,1
Florida State,ACC,17,14,14,15,11,10,11,9,9,13,11,,25,22,17,16,18,14,12,2019,10
Furman,Southern,,,,,25,23,24,,,,,,,,,,,,,2019,
Gonzaga,WCC,3,3,3,1,1,4,8,7,7,5,5,4,4,4,3,2,1,1,1,2019,4
Houston,AAC,,,,,,24,21,22,19,17,21,17,13,12,9,9,8,12,11,2019,11
Indiana,Big Ten,,,,,,25,22,23,21,22,25,,,,,,,,,2019,
Iowa,Big Ten,,,20,14,18,22,23,24,25,,23,19,,20,21,21,22,,,2019,
Iowa State,Big 12,,,,,,,,,,20,,24,20,17,23,19,,,,2019,24
Kansas,Big 12,1,2,2,2,2,1,1,5,5,7,7,9,11,13,14,12,15,13,17,2019,17
Kansas State,Big 12,12,12,12,12,16,25,,,,,,,,,18,23,16,18,15,2019,18
Kentucky,SEC,2,10,10,10,9,19,19,16,13,18,12,8,7,5,5,4,4,6,4,2019,7
LSU,SEC,23,22,19,,,,,,,,,25,19,21,19,13,13,10,9,2019,12
Louisville,ACC,,,,,,,,,,,,23,15,16,16,18,,,,2019,
Marquette,Big East,,24,,,,21,20,18,16,21,15,12,10,10,10,11,10,16,23,2019,
Maryland,Big Ten,,,,24,23,,,,,,19,13,21,24,24,24,17,24,21,2019,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2019,20
School,Conf,Pre,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,2019,Final
Michigan,Big Ten,19,18,9,7,5,5,4,2,2,2,2,5,5,7,6,7,9,7,10,2019,8
Michigan State,Big Ten,10,11,11,9,10,9,10,8,8,6,6,6,6,9,11,10,6,9,6,2019,5
Mississippi State,SEC,18,17,15,25,22,18,17,19,17,14,24,22,22,,,,,,,2019,
NC State,ACC,,,,,,,,20,18,15,17,21,23,,,,,,,2019,
Nebraska,Big Ten,,,,,24,,25,,24,,,,,,,,,,,2019,
Nevada,MWC,7,6,6,5,6,7,6,6,6,10,10,7,8,6,7,6,12,17,14,2019,20
Ohio State,Big Ten,,,23,16,19,15,15,13,14,16,,,,,,,,,,2019,
Oklahoma,Big 12,,,,,,,,25,23,23,20,,,,,,,,,2019,
Ole Miss,SEC,,,,,,,,,,,18,20,,,,,,,,2019,
Oregon,Pac-12,14,13,21,18,,,,,,,,,,,,,,,,2019,
Purdue,Big Ten,24,23,24,19,,,,,,,,,17,15,12,15,14,11,13,2019,13
St. John's (NY),Big East,,,,,,,,,,24,,,,,,,,,,2019,
Syracuse,ACC,16,15,,,,25,,,,,,,,,,,,,,2019,
TCU,Big 12,20,21,18,,,,,,,25,,,,,,,,,,2019,
Tennessee,SEC,6,5,5,6,7,3,3,3,3,3,3,1,1,1,1,5,7,5,8,2019,6
Texas,Big 12,,,,17,,,,,,,,,,,,,,,,2019,
Texas Tech,Big 12,,,,20,13,11,12,11,11,8,8,14,16,18,15,14,11,8,7,2019,9
UCF,AAC,,,,,,,,,,,,,,,,,,25,,2019,
UCLA,Pac-12,21,20,17,,,,,,,,,,,,,,,,,2019,
UNC,ACC,8,7,7,11,14,12,9,14,15,12,13,11,9,8,8,8,5,3,3,2019,3
Utah State,MWC,,,,,,,,,,,,,,,,,,,,2019,25
Villanova,Big East,9,8,,23,21,17,,,,,22,18,14,14,13,17,,23,25,2019,23
Virginia,ACC,5,4,4,4,4,6,5,4,4,4,4,3,3,3,4,3,2,2,2,2019,2
Virginia Tech,ACC,15,16,13,13,15,13,13,10,10,9,9,10,12,11,22,20,20,15,16,2019,16
Washington,Pac-12,25,,,,,,,,,,,,,,,,25,,,2019,
West Virginia,Big 12,13,,,,,,,,,,,,,,,,,,,2019,
Wisconsin,Big Ten,,,25,22,12,16,16,15,22,,,,24,19,20,22,19,21,19,2019,21
Wofford,Southern,,,,,,,,,,,,,,,,,24,22,20,2019,19
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2020,20
School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/2,3/9,2020,Final
Arizona,Pac-12,21,19,14,14,12,15,16,24,25,24,,22,,23,,24,,,,2020,
Auburn,SEC,24,22,19,18,14,12,12,8,8,5,4,16,17,11,11,13,15,17,20,2020,20
BYU,WCC,,,,,,,,,,,,,,,,23,17,15,14,2020,18
Baylor,Big 12,16,24,24,19,18,11,10,7,6,4,2,1,1,1,1,1,2,4,5,2020,5
Butler,Big East,,,,,24,18,17,12,11,6,5,13,16,19,19,21,,,24,2020,23
Colorado,Pac-12,,25,23,21,20,24,,,,25,20,23,20,24,16,18,21,,,2020,
Creighton,Big East,,,,,,,,,,,25,,,21,23,15,10,11,7,2020,7
Dayton,A-10,,,,,19,14,13,18,20,15,13,7,7,6,6,5,4,3,3,2020,3
Duke,ACC,4,2,1,1,10,7,4,4,2,2,3,8,9,7,7,6,7,12,10,2020,11
Florida,SEC,6,15,,24,,,,,,,,,,,,,,,,2020,
Florida State,ACC,,,,,17,21,19,17,18,10,9,5,5,8,8,8,6,7,4,2020,4
Gonzaga,WCC,8,8,8,8,9,6,2,1,1,1,1,2,2,2,2,2,3,2,2,2020,2
Houston,AAC,,,,,,,,,,,,25,21,25,20,22,25,21,22,2020,22
Illinois,Big Ten,,,,,,,,,,,24,21,19,20,22,,,23,21,2020,21
Iowa,Big Ten,,,,,,,,25,23,,,19,18,17,21,20,18,18,25,2020,25
Kansas,Big 12,3,5,4,4,2,2,1,5,3,3,6,3,3,3,3,3,1,1,1,2020,1
Kentucky,SEC,2,1,9,9,8,8,6,19,17,14,10,15,13,15,12,10,8,6,8,2020,8
LSU,SEC,22,23,,,,,,,,,,,22,18,25,,,,,2020,
Louisville,ACC,5,4,2,2,1,1,3,3,7,13,11,6,6,5,5,11,11,10,15,2020,14
Marquette,Big East,,,,,,,,,,,,,,,18,19,,,,2020,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2020,20
School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/2,3/9,2020,Final
Maryland,Big Ten,7,7,6,5,3,4,7,13,15,12,17,17,15,9,9,7,9,9,12,2020,12
Memphis,AAC,14,13,16,16,15,13,11,9,9,21,22,20,,,,,,,,2020,
Michigan,Big Ten,,,,,4,5,14,11,12,19,19,,,,,,19,25,,2020,
Michigan State,Big Ten,1,3,3,3,11,16,15,14,14,8,15,11,14,16,,,24,16,9,2020,9
Ohio State,Big Ten,18,16,10,10,6,3,5,2,5,11,21,,,,,25,23,19,19,2020,19
Oregon,Pac-12,15,14,11,11,13,10,8,6,4,9,8,12,11,14,17,14,14,13,13,2020,13
Penn State,Big Ten,,,,,,,23,20,21,20,,,24,22,13,9,16,20,,2020,
Purdue,Big Ten,23,,,,,,,,,,,,,,,,,,,2020,
Rutgers,Big Ten,,,,,,,,,,,,24,25,,,,,,,2020,
Saint Mary's,WCC,20,18,,,,,,,,,,,,,,,,,,2020,
San Diego State,MWC,,,,,,25,20,15,13,7,7,4,4,4,4,4,5,5,6,2020,6
Seton Hall,Big East,12,12,13,13,16,22,,,,,18,10,10,12,10,16,13,8,16,2020,15
Tennessee,SEC,,,20,17,21,19,21,,,,,,,,,,,,,2020,
Texas,Big 12,,,22,,,,,,,,,,,,,,,,,2020,
Texas Tech,Big 12,13,11,12,12,,,24,23,22,22,23,18,,,24,,22,,,2020,
UNC,ACC,9,6,5,6,7,17,,,,,,,,,,,,,,2020,
Utah State,MWC,17,17,15,15,25,,,,,,,,,,,,,,,2020,
VCU,A-10,25,,21,20,,,,,,,,,,,,,,,,2020,
Villanova,Big East,10,10,17,22,23,20,18,10,10,16,14,9,8,10,15,12,12,14,11,2020,10
Virginia,ACC,11,9,7,7,5,9,9,16,19,18,,,,,,,,22,17,2020,16
Washington,Pac-12,,20,25,23,22,,22,21,,,,,,,,,,,,2020,
West Virginia,Big 12,,,,,,,25,22,16,17,12,14,12,13,14,17,20,,23,2020,24
Wichita State,AAC,,,,,,,,,24,23,16,,23,,,,,,,2020,
Wisconsin,Big Ten,,,,,,,,,,,,,,,,,,24,18,2020,17
Xavier,Big East,19,21,18,25,,23,,,,,,,,,,,,,,2020,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,NA,NA,2021,NA
School,Conf,Pre,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,Final,NA,NA,2021,NA
Alabama,SEC,,,,,,,,,18,9,10,11,8,6,8,6,5,NA,NA,2021,NA
Arizona State,Pac-12,18,25,23,,,,,,,,,,,,,,,NA,NA,2021,NA
Arkansas,SEC,,,,,,,,,,,,,24,20,12,8,10,NA,NA,2021,NA
BYU,WCC,,,,,,,,,,,,,,,,,23,NA,NA,2021,NA
Baylor,Big 12,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,NA,NA,2021,NA
Clemson,ACC,,,,24,,,19,12,20,,,,,,,,,NA,NA,2021,NA
Colorado,Pac-12,,,,,,,,,,,,,,,24,23,22,NA,NA,2021,NA
Creighton,Big East,11,9,8,9,13,11,7,8,11,17,15,19,14,13,14,17,19,NA,NA,2021,NA
Drake,MVC,,,,,,,,,,,25,,,,,,,NA,NA,2021,NA
Duke,ACC,9,6,10,21,20,20,21,19,,,,,,,,,,NA,NA,2021,NA
Florida,SEC,,,,,,,,,,,22,,,,,,,NA,NA,2021,NA
Florida State,ACC,21,22,20,15,21,18,25,,,16,20,17,16,11,11,15,14,NA,NA,2021,NA
Gonzaga,WCC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,2021,NA
Houston,AAC,17,10,7,6,6,5,11,11,8,6,5,8,6,12,9,7,6,NA,NA,2021,NA
Illinois,Big Ten,8,5,6,13,18,15,12,14,22,19,12,6,5,5,4,3,2,NA,NA,2021,NA
Iowa,Big Ten,5,3,3,3,4,10,5,5,4,7,8,15,11,9,5,5,8,NA,NA,2021,NA
Kansas,Big 12,6,7,5,5,3,3,6,6,9,15,23,,23,17,13,11,12,NA,NA,2021,NA
Kentucky,SEC,10,20,,,,,,,,,,,,,,,,NA,NA,2021,NA
Louisville,ACC,,,25,23,,,,16,,25,,,,,,,,NA,NA,2021,NA
Loyola (IL),MVC,,,,,,,,,,,,22,22,21,20,18,17,NA,NA,2021,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,NA,NA,2021,NA
School,Conf,Pre,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,Final,NA,NA,2021,NA
Michigan,Big Ten,25,,,25,19,16,10,7,7,4,4,3,3,3,2,4,4,NA,NA,2021,NA
Michigan State,Big Ten,13,8,4,4,12,17,23,,,,,,,,,,,NA,NA,2021,NA
Minnesota,Big Ten,,,,,,21,16,23,17,21,,,,,,,,NA,NA,2021,NA
Missouri,SEC,,,,16,14,12,13,17,19,12,18,10,20,24,,,,NA,NA,2021,NA
Northwestern,Big Ten,,,,,,19,,,,,,,,,,,,NA,NA,2021,NA
Ohio State,Big Ten,23,23,22,20,23,25,,21,15,13,7,4,4,4,7,9,7,NA,NA,2021,NA
Oklahoma,Big 12,,,,,,,,,,24,9,12,9,7,16,25,,NA,NA,2021,NA
Oklahoma State,Big 12,,,,,,,,,,,,23,,,17,12,11,NA,NA,2021,NA
Oregon,Pac-12,20,21,,,25,21,17,22,21,,,,,,,,,NA,NA,2021,NA
Purdue,Big Ten,,,,,,,,,,,24,24,,,23,20,20,NA,NA,2021,NA
Richmond,A-10,,19,19,,,,,,,,,,,,,,,NA,NA,2021,NA
Rutgers,Big Ten,24,24,21,19,11,14,15,,,,,25,,,,,,NA,NA,2021,NA
Saint Louis,A-10,,,,,,,23,24,25,22,,,,,,,,NA,NA,2021,NA
San Diego State,MWC,,,24,18,,,,,,,,,25,22,19,19,16,NA,NA,2021,NA
Tennessee,SEC,12,13,12,10,8,7,9,10,6,18,11,16,19,25,,,,NA,NA,2021,NA
Texas,Big 12,19,17,13,11,10,8,4,4,5,5,6,13,12,14,15,13,9,NA,NA,2021,NA
Texas Tech,Big 12,14,17,17,14,15,13,18,15,12,10,13,7,15,18,18,20,21,NA,NA,2021,NA
UCLA,Pac-12,22,,,,,,,,24,23,21,,,,,,,NA,NA,2021,NA
UConn,Big East,,,,,,,,25,23,,,,,,,,,NA,NA,2021,NA
UNC,ACC,16,14,16,22,17,,,,,,,,,,,,,NA,NA,2021,NA
USC,Pac-12,,,,,,,,,,,,20,17,19,,24,24,NA,NA,2021,NA
Villanova,Big East,3,12,9,7,5,4,3,3,3,3,3,5,10,8,10,14,18,NA,NA,2021,NA
Virginia,ACC,4,15,18,17,16,23,22,18,13,8,14,9,7,15,21,16,15,NA,NA,2021,NA
Virginia Tech,ACC,,16,15,,24,24,19,20,16,20,16,18,18,16,22,22,25,NA,NA,2021,NA
West Virginia,Big 12,15,11,11,8,7,9,14,13,14,11,17,14,13,10,6,10,13,NA,NA,2021,NA
Wisconsin,Big Ten,7,4,13,12,9,6,8,9,10,14,19,21,21,23,25,,,NA,NA,2021,NA
Xavier,Big East,,,,,22,,,,,,,,,,,,,NA,NA,2021,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2022,NA
School,Conf,Pre,11/15,11/22,11/29,12/6,12/13,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,Final,2022,NA
Alabama,SEC,14,14,10,16,9,6,10,19,15,24,,,,,25,24,25,,,2022,NA
Arizona,Pac-12,,,17,11,11,8,6,9,8,6,3,3,7,4,3,2,2,2,2,2022,NA
Arkansas,SEC,16,16,13,10,12,24,,,,,,,,,23,18,14,15,17,2022,NA
Auburn,SEC,22,21,19,21,18,13,12,11,9,4,2,1,1,1,2,3,5,4,8,2022,NA
BYU,WCC,,,18,12,24,,,,,,,,,,,,,,,2022,NA
Baylor,Big 12,8,9,6,4,2,1,1,1,1,1,5,4,8,10,7,10,3,3,4,2022,NA
Boise State,MWC,,,,,,,,,,,,,,,,,,,23,2022,NA
Colorado State,MWC,,,,,,23,21,20,20,,,,,,,,,23,24,2022,NA
Davidson,A-10,,,,,,,,,,,,25,,,,,,,,2022,NA
Duke,ACC,9,7,5,1,3,2,2,2,2,8,6,9,9,7,9,7,4,7,9,2022,NA
Florida,SEC,,24,23,14,20,,,,,,,,,,,,,,,2022,NA
Florida State,ACC,20,,,,,,,,,,,,,,,,,,,2022,NA
Gonzaga,WCC,1,1,1,3,5,5,4,4,4,2,1,2,2,2,1,1,1,1,1,2022,NA
Houston,AAC,15,15,12,15,14,14,13,12,12,11,10,7,6,6,14,14,14,18,15,2022,NA
Illinois,Big Ten,11,10,14,,,,,,,25,17,24,18,13,12,15,20,16,19,2022,NA
Iowa,Big Ten,,,,,,,,,,,,,,,,25,24,24,16,2022,NA
Iowa State,Big 12,,,,19,17,11,9,8,11,15,15,23,20,,,,,,,2022,NA
Kansas,Big 12,3,3,4,8,8,7,7,6,6,9,7,5,10,8,6,5,6,6,3,2022,NA
Kentucky,SEC,10,13,10,9,10,21,20,18,16,18,12,12,5,5,4,6,7,5,7,2022,NA
LSU,SEC,,,,,25,19,17,16,21,12,13,19,25,,,,,,,2022,NA
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2022,NA
School,Conf,Pre,11/15,11/22,11/29,12/6,12/13,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,2/28,3/7,Final,2022,NA
Loyola (IL),MVC,,,,,,,,,,,22,,,,,,,,,2022,NA
Marquette,Big East,,,,,,,,,,,,22,24,18,,,,,,2022,NA
Maryland,Big Ten,21,20,,,,,,,,,,,,,,,,,,2022,NA
Memphis,AAC,12,11,9,18,,,,,,,,,,,,,,,,2022,NA
Michigan,Big Ten,6,4,20,24,,,,,,,,,,,,,,,,2022,NA
Michigan State,Big Ten,,,,22,19,12,11,10,10,10,14,10,13,17,19,,,,,2022,NA
Murray State,OVC,,,,,,,,,,,,,,23,21,19,22,19,20,2022,NA
Ohio State,Big Ten,17,19,,,21,15,14,13,13,16,19,16,16,16,18,22,23,,,2022,NA
Oregon,Pac-12,13,12,,,,,,,,,,,,,,,,,,2022,NA
Providence,Big East,,,,,,,22,21,16,23,21,17,15,11,8,11,9,11,13,2022,NA
Purdue,Big Ten,7,6,3,2,1,3,3,3,3,7,4,6,4,3,5,4,8,9,10,2022,NA
Saint Mary's,WCC,,,,,,,,,,,,,,22,,23,19,17,18,2022,NA
Seton Hall,Big East,,,21,25,23,16,15,15,24,20,,,,,,,,,,2022,NA
St. Bonaventure,A-10,23,22,16,,,,,,,,,,,,,,,,,2022,NA
Tennessee,SEC,18,17,15,13,13,18,19,14,18,22,24,18,22,19,16,17,13,9,5,2022,NA
Texas,Big 12,5,8,8,7,7,17,16,17,14,21,23,,23,20,20,20,21,22,25,2022,NA
Texas Tech,Big 12,,,,,,25,25,25,25,19,18,13,14,9,11,9,12,14,12,2022,NA
UCLA,Pac-12,2,2,2,5,4,4,5,5,5,3,9,7,3,12,13,12,17,13,11,2022,NA
UConn,Big East,24,23,22,17,15,20,,,,,25,20,17,24,24,21,18,20,21,2022,NA
UNC,ACC,19,18,,,,,,,,,,,,,,,,25,,2022,NA
USC,Pac-12,,25,24,20,16,10,8,7,7,5,16,15,19,21,17,16,16,21,22,2022,NA
Villanova,Big East,4,5,7,6,6,9,23,22,19,14,11,14,12,15,10,8,11,8,6,2022,NA
Virginia,ACC,25,,,,,,,,,,,,,,,,,,,2022,NA
Wisconsin,Big Ten,,,,23,22,,24,24,23,13,8,11,11,14,15,13,10,12,14,2022,NA
Wyoming,MWC,,,,,,,,,,,,,,,22,,,,,2022,NA
Xavier,Big East,,,25,,,22,18,23,22,17,20,21,21,25,,,,,,2022,NA
